"","ID","Name","Birthdate","City_of_birth"
"1",1401815,"Aagaard, Jacob","1973-07-31","Hørsholm"
"2",13402960,"Abasov, Nijat","1995-05-14","Baku"
"3",12501000,"Abbasifar, Hasan","1972-09-12","Shiraz"
"4",13400665,"Abbasov, Farid","1979-01-31","Baku"
"5",13703544,"Abdumalik, Zhansaya","2000-01-12","Almaty"
"6",14204118,"Abdusattorov, Nodirbek","2004-09-18","Tashkent"
"7",614890,"Abergel, Thal","1982-10-13","Haifa"
"8",900206,"Abramovic, Bosko","1951-02-14","Zrenjanin"
"9",3502589,"Abreu Delgado, Aryam","1978-07-09","Güines"
"10",708020,"Acs, Peter","1981-05-10","Eger"
"11",727709,"Aczel, Gergely","1991-02-27","Budapest"
"12",400041,"Adams, Michael","1971-11-17","Truro"
"13",7100019,"Adianto, Utut","1965-03-16","Jakarta"
"14",10601619,"Adly, Ahmed","1987-02-18","Cairo"
"15",700096,"Adorjan, Andras","1950-03-31","Budapest"
"16",24183555,"Afanasiev, Nikita","2000-08-29",NA
"17",13401718,"Agaragimov, Djakhangir","1986-12-05",NA
"18",1500015,"Agdestein, Simen","1967-05-15","Asker"
"19",13400215,"Aghamaliyev, Cemil","1974-08-31",NA
"20",13302841,"Aghasaryan, Robert","1994-03-01","Saint Petersburg"
"21",1705024,"Agrest, Evgenij","1966-08-15","Vitebsk"
"22",3508455,"Aguero Jimenez, Luis Lazaro","1991-01-05","Havana"
"23",14109069,"Ajrapetjan, Yuriy","1988-04-18","Yerevan"
"24",5040299,"Akash G","1996-10-01","Chennai"
"25",4131045,"Akbaev, Kazbek","1981-06-08","Cherkessk"
"26",1700120,"Akesson, Ralf","1961-02-08","Oxelösund"
"27",13300580,"Akobian, Varuzhan","1983-11-19","Yerevan"
"28",13300032,"Akopian, Vladimir","1971-12-07","Baku"
"29",5012414,"Akshayraj, Kore","1988-09-01","Ahmednagar"
"30",12100030,"Al-Mudahka, Mohd","1974-06-01",NA
"31",12100196,"AL-Sayed, Mohammed","1981-11-02",NA
"32",4120612,"Alavkin, Arseny","1969-01-17","Kazan"
"33",3518736,"Albornoz Cabrera, Carlos Daniel","2000-12-26","Camagüey"
"34",2000156,"Alburt, Lev","1945-08-21","Orenburg"
"35",13500139,"Aleksandrov, Aleksej","1973-05-11",NA
"36",4135539,"Alekseenko, Kirill","1997-06-22","Vyborg"
"37",4138147,"Alekseev, Evgeny","1985-11-28","Pushkin, Saint Petersburg"
"38",6300529,"Ali Marandi, Cemil Can","1998-01-17","Izmir"
"39",702293,"Almasi, Zoltan","1976-08-29","Járdánháza"
"40",3503313,"Almeida Quintana, Omar","1981-10-28","Havana"
"41",2270544,"Alonso Rosell, Alvar","1992-09-13","Figueres"
"42",105198,"Alonso, Salvador","1974-09-07","Buenos Aires"
"43",2252627,"Alsina Leal, Daniel","1988-05-10","Barcelona"
"44",2801906,"Alterman, Boris","1970-05-04","Kharkiv"
"45",3507408,"Alvarez Pedraza, Aramis","1988-07-27","Santa Clara, Cuba"
